pub_id,Year,Title,Source,ISSN,DOI,EID,quartile,escuelas,docentes
2-s2.0-84982299822,2016,α-bandlimited diffuser in fractional Fourier optics,Proceedings of SPIE - The International Society for Optical Engineering,0277786X,10.1117/12.2228985,2-s2.0-84982299822,SQ,['CIENCIAS BÁSICAS'],['ALBERTO PATIÑO VANEGAS']
2-s2.0-84982992676,2015,Thermoeconomic analysis of wheat flour agroindustrial plant,,,10.1115/IMECE201551652,2-s2.0-84982992676,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JUAN GABRIEL FAJARDO CUADRO']
2-s2.0-84987781490,2016,Evidence that the fungus Rhizoctonia solani AG-1 IA adapted to Urochloa in Colombia keeps a broad host range including maize; Evidência de que o fungo Rhizoctonia solani AG-1 IA adaptado à Urochloa na Colômbia mantém ampla gama de hospedeiros incluindo o milho,Summa Phytopathologica,01005405,10.1590/0100-5405/2176,2-s2.0-84987781490,Q4,['CIENCIAS BÁSICAS'],['EDISSON CHAVARRO MESA']
2-s2.0-84988696963,2014,Vibrational response of elastic membranes coupled to acoustic fluids using a BEM–BEM formulation,Conference Proceedings of the Society for Experimental Mechanics Series,21915644,10.1007/978-3-319-04753-9_34,2-s2.0-84988696963,Q3,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']",['JAIRO FRANCISCO USECHE VIVERO']
2-s2.0-84988908323,2016,Comparison of variational solutions of the Thomas-Fermi model in terms of the ionization energy,Revista Mexicana de Fisica,0035001X,,2-s2.0-84988908323,Q3,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['DAVID SIERRA PORTA']
2-s2.0-84992053006,2016,"GridUI, a RESTful web service and ubiquitous UI for accessing HPC resources",,,10.1109/EATIS.2016.7520134,2-s2.0-84992053006,SQ,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],"['JAIRO ENRIQUE SERRANO CASTAÑEDA', 'JUAN CARLOS MARTINEZ SANTOS']"
2-s2.0-84994065492,2016,Early prediction of severe maternal morbidity using machine learning techniques,Lecture Notes in Computer Science,03029743,10.1007/978-3-319-47955-2_22,2-s2.0-84994065492,Q2,['ESCUELA DE TRANSFORMACIÓN DIGITAL'],['JUAN CARLOS MARTINEZ SANTOS']
2-s2.0-85002518268,2016,Speckle free optical watermarking based on pseudo-random phase encoding,,,10.1109/STSIVA.2016.7743296,2-s2.0-85002518268,SQ,"['CIENCIAS BÁSICAS', 'ESCUELA DE TRANSFORMACIÓN DIGITAL']","['ALBERTO PATIÑO VANEGAS', 'HERNANDO RAFAEL ALTAMAR MERCADO', 'JUAN CARLOS MARTINEZ SANTOS']"
2-s2.0-85002597294,2015,The corporate social responsibility as guiding criteria for sustainability and ethics of the banking sector activities; La responsabilidad social empresarial como criterio orientador para la sostenibilidad y la ética de las actividades del sector bancario,Juridicas,17942918,10.17151/jurid.2015.12.2.4,2-s2.0-85002597294,Q4,"['ESCUELA DE NEGOCIOS, LEYES Y SOCIEDAD']",['LINA MARGARITA MARRUGO SALAS']
2-s2.0-85002970865,2016,On the compensation of uneven illumination in retinal images for restoration by means of blind deconvolution,,,10.1109/STSIVA.2016.7743327,2-s2.0-85002970865,SQ,"['ESCUELA DE INGENIERÍA, ARQUITECTURA Y DISEÑO']","['ANDRES GUILLERMO MARRUGO HERNANDEZ', 'SONIA HELENA CONTRERAS ORTIZ']"
